店名,評価,口コミ数,最低価格,URL
喫茶 グライダー,3.16,15,281人,https://tabelog.com/ishikawa/A1701/A170101/17012768/
コメダ珈琲店 金沢直江店,3.04,26,102人,https://tabelog.com/ishikawa/A1701/A170101/17008907/
ケサランパサラン,3.38,67,3245人,https://tabelog.com/ishikawa/A1701/A170101/17011977/
サロン・ド・テ・カワムラ,3.52,135,4309人,https://tabelog.com/ishikawa/A1701/A170101/17011103/
森八 金沢南店,3.01,10,138人,https://tabelog.com/ishikawa/A1701/A170101/17006304/
多華味屋,3.39,111,1367人,https://tabelog.com/ishikawa/A1701/A170101/17011583/
ハム&ゴー コーヒーアンドストック 香林坊アトリオ店,3.26,60,806人,https://tabelog.com/ishikawa/A1701/A170101/17010566/
和菓子 村上 金沢本店,3.15,158,2127人,https://tabelog.com/ishikawa/A1701/A170101/17000896/
ダンボ,3.3,69,3655人,https://tabelog.com/ishikawa/A1701/A170101/17007400/
レモネードバイレモニカ 金沢FORUS店2,3.03,20,249人,https://tabelog.com/ishikawa/A1701/A170101/17011307/
スターバックスコーヒー 金沢フォーラス1階店,3.04,27,129人,https://tabelog.com/ishikawa/A1701/A170101/17013499/
apila,3.09,22,1034人,https://tabelog.com/ishikawa/A1701/A170101/17009089/
むさしや,3.15,10,175人,https://tabelog.com/ishikawa/A1701/A170101/17013827/
ペソア コーヒー ロースターズ,3.16,14,380人,https://tabelog.com/ishikawa/A1701/A170101/17011966/
謎屋珈琲店 金沢本店,3.42,115,3529人,https://tabelog.com/ishikawa/A1701/A170101/17009520/
テン リバーサイド,3.11,26,1011人,https://tabelog.com/ishikawa/A1701/A170101/17012073/
ライフ イズ スイート,3.29,76,3425人,https://tabelog.com/ishikawa/A1701/A170101/17010349/
Fusion21,3.52,332,6413人,https://tabelog.com/ishikawa/A1701/A170101/17000198/
インデアンカレー 東山店,3.05,28,509人,https://tabelog.com/ishikawa/A1701/A170101/17009172/
タニタカフェ 金沢エムザ店,3.14,15,98人,https://tabelog.com/ishikawa/A1701/A170101/17014582/
金澤文豪カフェあんず,3.22,39,441人,https://tabelog.com/ishikawa/A1701/A170101/17010141/
閼伽,3.07,13,163人,https://tabelog.com/ishikawa/A1701/A170101/17003025/
東山一久,3.25,52,720人,https://tabelog.com/ishikawa/A1701/A170101/17010674/
ディプシー,3.27,52,827人,https://tabelog.com/ishikawa/A1701/A170101/17002696/
BENIYA COFFEE,3.09,12,261人,https://tabelog.com/ishikawa/A1701/A170101/17014752/
白磁,3.25,64,809人,https://tabelog.com/ishikawa/A1701/A170101/17011354/
一笑,3.66,449,24692人,https://tabelog.com/ishikawa/A1701/A170101/17000060/
カフェ加賀麩不室屋,3.23,214,3602人,https://tabelog.com/ishikawa/A1701/A170101/17012414/
ぼんじん,3.09,24,771人,https://tabelog.com/ishikawa/A1701/A170101/17002950/
喫茶 モロゾフ 大和香林坊店,3.04,33,243人,https://tabelog.com/ishikawa/A1701/A170101/17006197/
兼六園茶屋 見城亭,3.42,227,5954人,https://tabelog.com/ishikawa/A1701/A170101/17000858/
すとっく,3.1,10,57人,https://tabelog.com/ishikawa/A1701/A170101/17002898/
薬屋カフェ,3.08,14,274人,https://tabelog.com/ishikawa/A1701/A170101/17010648/
BANKERS STREET CAFE  ALL DAY DINING,3.19,52,1391人,https://tabelog.com/ishikawa/A1701/A170101/17011426/
おいしいいっぷく鏑木,3.29,69,2094人,https://tabelog.com/ishikawa/A1701/A170101/17000400/
サンニコラ 香林坊店,3.53,205,7231人,https://tabelog.com/ishikawa/A1701/A170101/17000675/
スターバックスコーヒー 金沢藤江店,3.04,17,57人,https://tabelog.com/ishikawa/A1701/A170101/17013286/
ジャーマンベーカリー 片町店,3.07,89,722人,https://tabelog.com/ishikawa/A1701/A170101/17001364/
久連波,3.6,485,14896人,https://tabelog.com/ishikawa/A1701/A170101/17000663/
L'HEURE BLEUE,3.19,19,478人,https://tabelog.com/ishikawa/A1701/A170101/17015014/
スターバックスコーヒー 金沢Rinto西口店,3.18,103,414人,https://tabelog.com/ishikawa/A1701/A170101/17012293/
寳勝寺カフェ,3.08,23,329人,https://tabelog.com/ishikawa/A1701/A170101/17009337/
月の砂漠,3.14,12,272人,https://tabelog.com/ishikawa/A1701/A170101/17010444/
コーヒー豆専門店 キャラバンサライ 本店,3.03,10,83人,https://tabelog.com/ishikawa/A1701/A170101/17001542/
カフェぶどうの森 金沢エムザ店,3.09,35,241人,https://tabelog.com/ishikawa/A1701/A170101/17005495/
KUPPI,3.23,69,4046人,https://tabelog.com/ishikawa/A1701/A170101/17005537/
SOLO,3.54,121,6871人,https://tabelog.com/ishikawa/A1701/A170101/17006387/
ミスタードーナツ 金沢武蔵ショップ,3.05,34,121人,https://tabelog.com/ishikawa/A1701/A170101/17008089/
CUBBY HOLE,3.09,19,424人,https://tabelog.com/ishikawa/A1701/A170101/17013786/
POP BY COFFEE,3.24,30,1440人,https://tabelog.com/ishikawa/A1701/A170101/17013136/
Mott.,3.19,38,723人,https://tabelog.com/ishikawa/A1701/A170101/17014981/
カスケイド ラウンジ,3.17,33,328人,https://tabelog.com/ishikawa/A1701/A170101/17005372/
金沢20世紀カフェ 喫茶 おあしす,3.08,16,152人,https://tabelog.com/ishikawa/A1701/A170101/17002853/
gemutlich,3.19,16,402人,https://tabelog.com/ishikawa/A1701/A170101/17013201/
コライトコーヒー,3.19,39,663人,https://tabelog.com/ishikawa/A1701/A170101/17014621/
波結,3.38,143,3122人,https://tabelog.com/ishikawa/A1701/A170101/17010252/
ハグ ミトン ワークス,3.27,83,2985人,https://tabelog.com/ishikawa/A1701/A170101/17006637/
